"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Torres (RS)","RS","25","20.349","122,9"
"José Bonifácio (SP)","SP","23","18.733","122,8"
"São Lourenço da Mata (PE)","PE","73","59.463","122,8"
"Esperança Nova (PR)","PR","1","815","122,7"
"Bilac (SP)","SP","5","4.075","122,7"
"Campos Borges (RS)","RS","2","1.631","122,6"
"Liberdade (MG)","MG","3","2.453","122,3"
"Santa Terezinha de Goiás (GO)","GO","5","4.092","122,2"
"Antônio Prado (RS)","RS","8","6.563","121,9"
"Gravatá (PE)","PE","54","44.302","121,9"
"Rio Pomba (MG)","MG","11","9.027","121,9"
"Blumenau (SC)","SC","227","186.537","121,7"
"Divino (MG)","MG","12","9.863","121,7"
"São Miguel dos Milagres (AL)","AL","5","4.113","121,6"
"São Paulo do Potengi (RN)","RN","11","9.049","121,6"
"Sigefredo Pacheco (PI)","PI","6","4.948","121,3"
"Guará (SP)","SP","13","10.721","121,3"
"Sirinhaém (PE)","PE","28","23.124","121,1"
"Dracena (SP)","SP","28","23.128","121,1"
"Marema (SC)","SC","1","827","120,9"
"Guia Lopes da Laguna (MS)","MS","6","4.965","120,8"
"Morro da Fumaça (SC)","SC","11","9.124","120,6"
"Zortéa (SC)","SC","2","1.659","120,6"
"Buenos Aires (PE)","PE","8","6.644","120,4"
"Fernando de Noronha (PE)","PE","2","1.661","120,4"
"Porto Amazonas (PR)","PR","3","2.494","120,3"
"Cristina (MG)","MG","6","4.989","120,3"
"Alvinlândia (SP)","SP","2","1.663","120,3"
"Águas da Prata (SP)","SP","5","4.162","120,1"
"Abre Campo (MG)","MG","8","6.668","120,0"
"Lagoa dos Três Cantos (RS)","RS","1","834","119,9"
"Angico (TO)","TO","2","1.669","119,8"
"Cláudio (MG)","MG","17","14.189","119,8"
"Benedito Novo (SC)","SC","7","5.845","119,8"
"Turmalina (SP)","SP","1","835","119,8"
"Telha (SE)","SE","2","1.671","119,7"
"Nova América da Colina (PR)","PR","2","1.672","119,6"
"Estrela d'Oeste (SP)","SP","5","4.180","119,6"
"Palmares do Sul (RS)","RS","7","5.853","119,6"
"Granjeiro (CE)","CE","3","2.509","119,6"
"Alegria (RS)","RS","2","1.674","119,5"
"Matelândia (PR)","PR","11","9.218","119,3"
"Arroio do Tigre (RS)","RS","8","6.705","119,3"
"Guaramiranga (CE)","CE","3","2.518","119,1"
"Assis (SP)","SP","64","53.743","119,1"
"Pimenta (MG)","MG","5","4.208","118,8"
"Crissiumal (RS)","RS","8","6.734","118,8"
"Santo Antônio da Alegria (SP)","SP","4","3.367","118,8"
"Paranapoema (PR)","PR","2","1.686","118,6"
"Surubim (PE)","PE","41","34.564","118,6"
"Resende Costa (MG)","MG","7","5.908","118,5"
"Santa Isabel do Ivaí (PR)","PR","5","4.223","118,4"
"Vera Cruz do Oeste (PR)","PR","5","4.224","118,4"
"Brasilândia (MS)","MS","7","5.917","118,3"
"Arealva (SP)","SP","5","4.231","118,2"
"Pequeri (MG)","MG","2","1.693","118,1"
"Curvelo (MG)","MG","49","41.499","118,1"
"Pratápolis (MG)","MG","5","4.238","118,0"
"Tijucas do Sul (PR)","PR","10","8.480","117,9"
"São Lourenço (MG)","MG","29","24.605","117,9"
"Fernão (SP)","SP","1","849","117,8"
"Pedra Mole (SE)","SE","2","1.699","117,7"
"Paiçandu (PR)","PR","25","21.263","117,6"
"São Ludgero (SC)","SC","8","6.805","117,6"
"Jaú (SP)","SP","92","78.308","117,5"
"Água Branca (PB)","PB","6","5.115","117,3"
"Bocaina do Sul (SC)","SC","2","1.707","117,2"
"Jequitibá (MG)","MG","3","2.564","117,0"
"Muçum (RS)","RS","3","2.567","116,9"
"Itaguaru (GO)","GO","3","2.569","116,8"
"Divinésia (MG)","MG","2","1.718","116,4"
"Marilândia do Sul (PR)","PR","5","4.296","116,4"
"Pilar do Sul (SP)","SP","17","14.608","116,4"
"Cascavel (PR)","PR","199","171.020","116,4"
"Delfinópolis (MG)","MG","4","3.438","116,3"
"Atílio Vivacqua (ES)","ES","7","6.021","116,3"
"Boa Ventura (PB)","PB","3","2.586","116,0"
"Elias Fausto (SP)","SP","10","8.622","116,0"
"São José do Cedro (SC)","SC","8","6.902","115,9"
"Joaquim Távora (PR)","PR","7","6.052","115,7"
"Ruy Barbosa (RN)","RN","2","1.730","115,6"
"Vieiras (MG)","MG","2","1.732","115,5"
"Água Limpa (GO)","GO","1","867","115,3"
"Guaraniaçu (PR)","PR","7","6.074","115,2"
"Baependi (MG)","MG","11","9.556","115,1"
"Batatais (SP)","SP","37","32.233","114,8"
"Ouro Verde (SP)","SP","5","4.356","114,8"
"Braganey (PR)","PR","3","2.614","114,8"
"Monte Negro (RO)","RO","9","7.872","114,3"
"São José da Coroa Grande (PE)","PE","13","11.378","114,3"
"Chuvisca (RS)","RS","3","2.626","114,2"
"Joaçaba (SC)","SC","18","15.761","114,2"
"Sertaneja (PR)","PR","3","2.629","114,1"
"Pedrinópolis (MG)","MG","2","1.755","114,0"
"Vitória Brasil (SP)","SP","1","878","113,9"
"Piranguçu (MG)","MG","3","2.635","113,9"
"Urupês (SP)","SP","8","7.027","113,8"
"Canoas (RS)","RS","207","181.829","113,8"
"Palmares (PE)","PE","37","32.550","113,7"
"Senhora dos Remédios (MG)","MG","6","5.283","113,6"
"Nova Resende (MG)","MG","9","7.925","113,6"
"Linha Nova (RS)","RS","1","881","113,5"
"Tabapuã (SP)","SP","7","6.167","113,5"
"Álvares Florence (SP)","SP","2","1.764","113,4"
"Martins (RN)","RN","5","4.413","113,3"
"Borborema (PB)","PB","3","2.656","113,0"
"Peabiru (PR)","PR","8","7.084","112,9"
"Cruzeiro do Oeste (PR)","PR","12","10.631","112,9"
"Capão do Cipó (RS)","RS","2","1.773","112,8"
"Santa Terezinha (BA)","BA","6","5.322","112,7"
"Vila Pavão (ES)","ES","5","4.437","112,7"
"Júlio de Castilhos (RS)","RS","11","9.763","112,7"
"Grandes Rios (PR)","PR","3","2.663","112,7"
"Santa Rita do Itueto (MG)","MG","3","2.664","112,6"
"Foz do Iguaçu (PR)","PR","152","134.983","112,6"
"Janduís (RN)","RN","3","2.666","112,5"
"Itariri (SP)","SP","10","8.887","112,5"
"Jaquirana (RS)","RS","2","1.778","112,5"
"Vargeão (SC)","SC","2","1.778","112,5"
"Imbituba (SC)","SC","26","23.137","112,4"
"Nova Boa Vista (RS)","RS","1","890","112,4"
"Antônio Martins (RN)","RN","4","3.562","112,3"
"Lontras (SC)","SC","7","6.235","112,3"
"São Francisco de Paula (RS)","RS","12","10.694","112,2"
"Chavantes (SP)","SP","7","6.245","112,1"
"Engenheiro Navarro (MG)","MG","4","3.570","112,0"
"Santa Rita de Minas (MG)","MG","4","3.573","112,0"
"Candelária (RS)","RS","18","16.079","111,9"
"Porto Ferreira (SP)","SP","32","28.598","111,9"
"Barra do Piraí (RJ)","RJ","59","52.807","111,7"
"Damião (PB)","PB","3","2.686","111,7"
"São Sebastião do Umbuzeiro (PB)","PB","2","1.794","111,5"
"Vera Cruz (BA)","BA","25","22.471","111,3"
"Orleans (SC)","SC","13","11.710","111,0"
"Trabiju (SP)","SP","1","901","111,0"
"Não-Me-Toque (RS)","RS","10","9.015","110,9"
"Porecatu (PR)","PR","7","6.312","110,9"
"Nova Módica (MG)","MG","2","1.804","110,9"
"Porteirão (GO)","GO","2","1.805","110,8"
"Rolante (RS)","RS","12","10.833","110,8"
"Cruzeiro (SP)","SP","47","42.447","110,7"
"Machadinho (RS)","RS","3","2.710","110,7"
"Ribeirão (PE)","PE","27","24.404","110,6"
"Casinhas (PE)","PE","8","7.235","110,6"
"Cafelândia (SP)","SP","10","9.044","110,6"
"Iguaba Grande (RJ)","RJ","17","15.388","110,5"
"Sentinela do Sul (RS)","RS","3","2.718","110,4"
"Fernandes Pinheiro (PR)","PR","3","2.720","110,3"
"Cerejeiras (RO)","RO","9","8.168","110,2"
"Virgolândia (MG)","MG","3","2.724","110,1"
"Nova Roma do Sul (RS)","RS","2","1.817","110,1"
"Conchas (SP)","SP","10","9.097","109,9"
"Santa Maria da Boa Vista (PE)","PE","23","20.927","109,9"
"Palminópolis (GO)","GO","2","1.821","109,8"
"Campos dos Goytacazes (RJ)","RJ","291","265.150","109,7"
"São João del Rei (MG)","MG","52","47.389","109,7"
"Veranópolis (RS)","RS","15","13.670","109,7"
"João Alfredo (PE)","PE","19","17.320","109,7"
"Poço Fundo (MG)","MG","9","8.208","109,6"
"Sananduva (RS)","RS","9","8.212","109,6"
"Tiradentes do Sul (RS)","RS","3","2.741","109,4"
"Rio Formoso (PE)","PE","13","11.880","109,4"
"Bom Progresso (RS)","RS","1","915","109,3"
"Aspásia (SP)","SP","1","915","109,3"
"Cataguases (MG)","MG","42","38.451","109,2"
"Primeiro de Maio (PR)","PR","6","5.513","108,8"
"Limoeiro (PE)","PE","31","28.494","108,8"
"Divinópolis (MG)","MG","135","124.132","108,8"
"Riolândia (SP)","SP","6","5.519","108,7"
"Timbó (SC)","SC","25","23.012","108,6"
"Volta Grande (MG)","MG","3","2.764","108,5"
"Rio do Sul (SC)","SC","40","36.899","108,4"
"Casca (RS)","RS","5","4.624","108,1"
"Ipiguá (SP)","SP","3","2.776","108,1"
"São Paulo das Missões (RS)","RS","3","2.780","107,9"
"Cosmópolis (SP)","SP","40","37.092","107,8"
"Cajuri (MG)","MG","2","1.858","107,6"
"Alumínio (SP)","SP","10","9.290","107,6"
"Mesópolis (SP)","SP","1","929","107,6"
"Primavera (PE)","PE","8","7.434","107,6"
"Passos (MG)","MG","63","58.560","107,6"
"Santa Cruz do Sul (RS)","RS","74","68.810","107,5"
"Caeté (MG)","MG","25","23.248","107,5"
"Água Preta (PE)","PE","20","18.615","107,4"
"Porto Firme (MG)","MG","6","5.585","107,4"
"Rio Pardo (RS)","RS","21","19.556","107,4"
"Presidente Tancredo Neves (BA)","BA","15","13.969","107,4"
"Igarassu (PE)","PE","67","62.482","107,2"
"Boa Vista da Aparecida (PR)","PR","4","3.740","107,0"
"Sapiranga (RS)","RS","44","41.154","106,9"
"Estrela de Alagoas (AL)","AL","10","9.365","106,8"
"Nova Odessa (SP)","SP","33","30.924","106,7"
"Piratini (RS)","RS","11","10.309","106,7"
"Águas de São Pedro (SP)","SP","2","1.876","106,6"
"Guarapari (ES)","ES","71","66.626","106,6"
"Cabo Frio (RJ)","RJ","129","121.254","106,4"
"Chapada (RS)","RS","5","4.702","106,3"
"Terra Rica (PR)","PR","9","8.473","106,2"
"Salete (SC)","SC","4","3.770","106,1"
"Paraú (RN)","RN","2","1.886","106,0"
"Água Comprida (MG)","MG","1","944","105,9"
"Laguna (SC)","SC","25","23.623","105,8"
"Frutal (MG)","MG","31","29.299","105,8"
"Rio das Flores (RJ)","RJ","5","4.730","105,7"
"Nova Laranjeiras (PR)","PR","6","5.677","105,7"
"Santa Rita do Passa Quatro (SP)","SP","15","14.203","105,6"
"Coxixola (PB)","PB","1","948","105,5"
"Flores (PE)","PE","12","11.379","105,5"
"São Domingos das Dores (MG)","MG","3","2.846","105,4"
"Cantagalo (PR)","PR","7","6.645","105,3"
"Pão de Açúcar (AL)","AL","13","12.346","105,3"
"Machados (PE)","PE","9","8.551","105,3"
"Arcoverde (PE)","PE","42","39.915","105,2"
"Rancho Alegre (PR)","PR","2","1.901","105,2"
"Roncador (PR)","PR","5","4.753","105,2"
"Santo Antônio da Patrulha (RS)","RS","23","21.891","105,1"
"Barueri (SP)","SP","152","144.793","105,0"
"Ibirama (SC)","SC","10","9.528","105,0"
"Teresópolis (RJ)","RJ","102","97.304","104,8"
"Paim Filho (RS)","RS","2","1.910","104,7"
"Alvorada (RS)","RS","115","109.894","104,6"
"Frei Gaspar (MG)","MG","3","2.872","104,5"
"Itabirito (MG)","MG","28","26.819","104,4"
"Araranguá (SC)","SC","37","35.443","104,4"
"Rodeio (SC)","SC","6","5.750","104,3"
"Ariranha (SP)","SP","5","4.798","104,2"
"Duas Barras (RJ)","RJ","6","5.759","104,2"
"Pedras Grandes (SC)","SC","2","1.921","104,1"
"Senhora de Oliveira (MG)","MG","3","2.882","104,1"
"Irupi (ES)","ES","7","6.725","104,1"
"Guarani das Missões (RS)","RS","4","3.844","104,1"
"Santo Anastácio (SP)","SP","11","10.572","104,0"
"Muqui (ES)","ES","8","7.690","104,0"
"São Sebastião (SP)","SP","48","46.140","104,0"
"Irapuru (SP)","SP","3","2.884","104,0"
"Rio Novo do Sul (ES)","ES","6","5.773","103,9"
"Cachoeira do Sul (RS)","RS","44","42.384","103,8"
"Ferros (MG)","MG","5","4.818","103,8"
"São Domingos (SE)","SE","6","5.782","103,8"
"Olímpia (SP)","SP","29","27.947","103,8"
"Cachoeirinha (PE)","PE","11","10.601","103,8"
"Tarabai (SP)","SP","4","3.861","103,6"
"Santa Albertina (SP)","SP","3","2.898","103,5"
"Ouro Verde de Minas (MG)","MG","3","2.899","103,5"
"Campo Florido (MG)","MG","4","3.868","103,4"
"Florânia (RN)","RN","5","4.836","103,4"
"Jaboatão dos Guararapes (PE)","PE","391","378.462","103,3"
"São João Nepomuceno (MG)","MG","14","13.552","103,3"
"Camaquã (RS)","RS","35","33.891","103,3"
"Garanhuns (PE)","PE","77","74.573","103,3"
"Tapiraí (SP)","SP","4","3.882","103,0"
"Mariápolis (SP)","SP","2","1.944","102,9"
"Arcos (MG)","MG","21","20.427","102,8"
"Ivaiporã (PR)","PR","17","16.541","102,8"
"Itapetim (PE)","PE","7","6.814","102,7"
"Dores do Indaiá (MG)","MG","7","6.817","102,7"
"São João do Jaguaribe (CE)","CE","4","3.897","102,6"
"Jacupiranga (SP)","SP","9","8.769","102,6"
"Passa Vinte (MG)","MG","1","975","102,6"
"Goiana (PE)","PE","43","41.934","102,5"
"Bom Jardim (PE)","PE","21","20.517","102,4"
"Carpina (PE)","PE","46","44.956","102,3"
"Roca Sales (RS)","RS","6","5.871","102,2"
"Vertentes (PE)","PE","11","10.766","102,2"
"Espigão Alto do Iguaçu (PR)","PR","2","1.960","102,0"
"Pilões (RN)","RN","2","1.961","102,0"
"São José dos Basílios (MA)","MA","4","3.928","101,8"
"Itanhandu (MG)","MG","8","7.859","101,8"
"Catanduvas (PR)","PR","5","4.918","101,7"
"Japonvar (MG)","MG","4","3.935","101,7"
"Barra Bonita (SP)","SP","19","18.699","101,6"
"Dourados (MS)","MS","118","116.134","101,6"
"Itamogi (MG)","MG","5","4.922","101,6"
"Castro Alves (BA)","BA","14","13.782","101,6"
"Congonhal (MG)","MG","6","5.912","101,5"
"Bom Sucesso de Itararé (SP)","SP","2","1.972","101,4"
"Arraial do Cabo (RJ)","RJ","16","15.791","101,3"
"Nossa Senhora das Graças (PR)","PR","2","1.974","101,3"
"Vila Lângaro (RS)","RS","1","987","101,3"
"Marília (SP)","SP","127","125.462","101,2"
"Sairé (PE)","PE","5","4.942","101,2"
"Ivoti (RS)","RS","13","12.893","100,8"
"Indaial (SC)","SC","36","35.738","100,7"
"Vargem Bonita (MG)","MG","1","993","100,7"
"Gramado dos Loureiros (RS)","RS","1","993","100,7"
"Lavínia (SP)","SP","2","1.987","100,7"
"Indiaporã (SP)","SP","2","1.990","100,5"
"Passo Fundo (RS)","RS","108","107.566","100,4"
"Carnaíba (PE)","PE","10","9.960","100,4"
"Coivaras (PI)","PI","2","1.994","100,3"
"Frei Inocêncio (MG)","MG","5","4.991","100,2"
"Toledo (MG)","MG","3","2.995","100,2"
"Santa Juliana (MG)","MG","7","6.989","100,2"
"Santa Terezinha (SC)","SC","4","4.000","100,0"
"Porto Alegre (RS)","RS","799","799.598","99,9"
"São José do Belmonte (PE)","PE","17","17.018","99,9"
"Mirante do Paranapanema (SP)","SP","9","9.012","99,9"
"Terra Nova (PE)","PE","5","5.009","99,8"
"Domingos Martins (ES)","ES","17","17.053","99,7"
"Caçapava (SP)","SP","48","48.164","99,7"
"Três Passos (RS)","RS","12","12.043","99,6"
"Porangaba (SP)","SP","5","5.021","99,6"
"Buriti dos Montes (PI)","PI","4","4.018","99,6"
"Bituruna (PR)","PR","8","8.037","99,5"
"Senador Cortes (MG)","MG","1","1.007","99,3"
"Rondonópolis (MT)","MT","118","118.892","99,2"
"Jales (SP)","SP","25","25.200","99,2"
"Cabeceiras (GO)","GO","4","4.033","99,2"
"Pomerode (SC)","SC","17","17.156","99,1"
"Inúbia Paulista (SP)","SP","2","2.021","99,0"
"São Francisco de Assis (RS)","RS","9","9.098","98,9"
"Alto Jequitibá (MG)","MG","4","4.044","98,9"
"Estação (RS)","RS","3","3.033","98,9"
"Santa Rosa de Lima (SC)","SC","1","1.011","98,9"
"Campo Mourão (PR)","PR","49","49.576","98,8"
"Parobé (RS)","RS","30","30.363","98,8"
"Munhoz de Melo (PR)","PR","2","2.025","98,8"
"Guaraciaba (MG)","MG","5","5.065","98,7"
"Pedra Lavrada (PB)","PB","4","4.065","98,4"
"Cacequi (RS)","RS","6","6.099","98,4"
"Populina (SP)","SP","2","2.033","98,4"
"Carmo da Cachoeira (MG)","MG","6","6.104","98,3"
"Dumont (SP)","SP","5","5.088","98,3"
"São João do Pau d'Alho (SP)","SP","1","1.019","98,1"
"Muzambinho (MG)","MG","10","10.200","98,0"
"Iacri (SP)","SP","3","3.060","98,0"
"Assunção (PB)","PB","2","2.041","98,0"
"Vidal Ramos (SC)","SC","3","3.062","98,0"
"Marliéria (MG)","MG","2","2.043","97,9"
"Santa Cruz do Rio Pardo (SP)","SP","24","24.559","97,7"
"Terezópolis de Goiás (GO)","GO","4","4.095","97,7"
"Monte Alegre do Sul (SP)","SP","4","4.098","97,6"
"Itatinga (SP)","SP","10","10.259","97,5"
"Virmond (PR)","PR","2","2.052","97,5"
"Dolcinópolis (SP)","SP","1","1.026","97,5"
"Bebedouro (SP)","SP","39","40.029","97,4"
"Senador Elói de Souza (RN)","RN","3","3.081","97,4"
"Capixaba (AC)","AC","6","6.163","97,4"
"Matozinhos (MG)","MG","19","19.539","97,2"
"Ubaí (MG)","MG","6","6.173","97,2"
"Astorga (PR)","PR","13","13.377","97,2"
"Bom Jesus do Norte (ES)","ES","5","5.150","97,1"
"Divino de São Lourenço (ES)","ES","2","2.060","97,1"
"Itambé (PR)","PR","3","3.094","97,0"
"Igaracy (PB)","PB","3","3.095","96,9"
"Piracicaba (SP)","SP","203","209.557","96,9"
"São Joaquim da Barra (SP)","SP","26","26.843","96,9"
"Ariranha do Ivaí (PR)","PR","1","1.035","96,6"
"Santa Maria do Suaçuí (MG)","MG","7","7.250","96,6"
"Florestópolis (PR)","PR","5","5.180","96,5"
"Arvorezinha (RS)","RS","5","5.183","96,5"
"Rodeiro (MG)","MG","4","4.150","96,4"
"Uberaba (MG)","MG","166","172.385","96,3"
"Francisco Beltrão (PR)","PR","45","46.743","96,3"
"Passa Quatro (MG)","MG","8","8.312","96,2"
"Mandaguari (PR)","PR","17","17.682","96,1"
"Pedro Leopoldo (MG)","MG","32","33.304","96,1"
"Pinhalão (PR)","PR","3","3.126","96,0"
"Mato Verde (MG)","MG","6","6.254","95,9"
"Tibau (RN)","RN","2","2.086","95,9"
"Bocaina (SP)","SP","6","6.258","95,9"
"Lima Duarte (MG)","MG","8","8.354","95,8"
"Pérola d'Oeste (PR)","PR","3","3.134","95,7"
"Itaú de Minas (MG)","MG","8","8.359","95,7"
"Oliveira Fortes (MG)","MG","1","1.045","95,7"
"Tabira (PE)","PE","14","14.632","95,7"
"Serra Caiada (RN)","RN","5","5.229","95,6"
"Riacho dos Cavalos (PB)","PB","4","4.185","95,6"
"Santa Rosa do Sul (SC)","SC","4","4.185","95,6"
"Monjolos (MG)","MG","1","1.047","95,5"
"Ipatinga (MG)","MG","132","138.225","95,5"
"Jaguari (RS)","RS","5","5.241","95,4"
"Entre-Ijuís (RS)","RS","4","4.199","95,3"
"Salto do Lontra (PR)","PR","7","7.349","95,3"
"Nova Venécia (ES)","ES","24","25.242","95,1"
"Botucatu (SP)","SP","73","76.835","95,0"
"São Francisco de Itabapoana (RJ)","RJ","20","21.067","94,9"
"Araçoiaba (PE)","PE","10","10.534","94,9"
"Paranaíta (MT)","MT","5","5.268","94,9"
"Acaiaca (MG)","MG","2","2.108","94,9"
"São José do Barreiro (SP)","SP","2","2.109","94,8"
"Parisi (SP)","SP","1","1.055","94,8"
"Santo Antônio de Posse (SP)","SP","11","11.610","94,7"
"Vicentinópolis (GO)","GO","4","4.223","94,7"
"Santo Antônio do Paraíso (PR)","PR","1","1.056","94,7"
"Bom Retiro do Sul (RS)","RS","6","6.354","94,4"
"Jaraguá do Sul (SC)","SC","87","92.143","94,4"
"Mendes Pimentel (MG)","MG","3","3.178","94,4"
"Monte Castelo (SP)","SP","2","2.121","94,3"
"Araxá (MG)","MG","51","54.201","94,1"
"Capitão Enéas (MG)","MG","7","7.440","94,1"
"Paraná (RN)","RN","2","2.127","94,0"
"Caraúbas (RN)","RN","10","10.636","94,0"
"Miraí (MG)","MG","7","7.449","94,0"
"São João do Cariri (PB)","PB","2","2.131","93,9"
"Anhumas (SP)","SP","2","2.132","93,8"
"Marechal Floriano (ES)","ES","8","8.547","93,6"
"Butiá (RS)","RS","10","10.689","93,6"
"Centenário do Sul (PR)","PR","5","5.346","93,5"
"Mamonas (MG)","MG","3","3.209","93,5"
"Sarzedo (MG)","MG","16","17.122","93,4"
"Guarda-Mor (MG)","MG","3","3.211","93,4"
"Cruzeiro do Iguaçu (PR)","PR","2","2.141","93,4"
"Junqueirópolis (SP)","SP","9","9.639","93,4"
"Novo Cabrais (RS)","RS","2","2.144","93,3"
"Maringá (PR)","PR","210","225.213","93,2"
"Brejinho (RN)","RN","6","6.451","93,0"
"Bozano (RS)","RS","1","1.076","92,9"
"Irati (PR)","PR","29","31.214","92,9"
"Xexéu (PE)","PE","7","7.541","92,8"
"Monte Santo de Minas (MG)","MG","10","10.773","92,8"
"São Miguel Arcanjo (SP)","SP","15","16.168","92,8"
"Boa Vista das Missões (RS)","RS","1","1.078","92,8"
"Dom Feliciano (RS)","RS","7","7.546","92,8"
"Comercinho (MG)","MG","3","3.236","92,7"
"Campos do Jordão (SP)","SP","25","26.967","92,7"
"Eldorado do Sul (RS)","RS","20","21.582","92,7"
"Tubarão (SC)","SC","51","55.101","92,6"
"São José do Rio Pardo (SP)","SP","26","28.102","92,5"
"Guaíba (RS)","RS","47","50.835","92,5"
"Itapirapuã (GO)","GO","2","2.164","92,4"
"Itajaí (SC)","SC","106","114.771","92,4"
"Santana do Riacho (MG)","MG","2","2.166","92,3"
"Nanuque (MG)","MG","19","20.590","92,3"
"Silveirânia (MG)","MG","1","1.084","92,3"
"Ibarama (RS)","RS","2","2.168","92,3"
"Monte Alto (SP)","SP","24","26.024","92,2"
"Sumidouro (RJ)","RJ","7","7.591","92,2"
"Santos (SP)","SP","217","235.378","92,2"
"Mairinque (SP)","SP","22","23.894","92,1"
"Ribeirão do Pinhal (PR)","PR","6","6.517","92,1"
"São Miguel do Iguaçu (PR)","PR","13","14.135","92,0"
"Guarani (MG)","MG","4","4.350","92,0"
"Araruama (RJ)","RJ","65","70.705","91,9"
"Bambuí (MG)","MG","11","11.980","91,8"
"Belo Horizonte (MG)","MG","1.236","1.347.757","91,7"
"Itaguajé (PR)","PR","2","2.181","91,7"
"Minaçu (GO)","GO","13","14.178","91,7"
"Itambaracá (PR)","PR","3","3.277","91,5"
"Marau (RS)","RS","21","22.944","91,5"
"Santa Teresa (ES)","ES","11","12.021","91,5"
"Ribeirão Claro (PR)","PR","5","5.465","91,5"
"Capanema (PR)","PR","9","9.840","91,5"
"Coluna (MG)","MG","4","4.376","91,4"
"Osasco (SP)","SP","334","365.484","91,4"
"Mirandópolis (SP)","SP","12","13.135","91,4"
"Angelina (SC)","SC","2","2.190","91,3"
"Lapa (PR)","PR","22","24.091","91,3"
"Campos Gerais (MG)","MG","13","14.240","91,3"
"Itapecerica (MG)","MG","10","10.954","91,3"
